VOC,JSC,FF,PCE,NOCount_D,NumAliphaticCarbocycles_D,NumAliphaticRings_D,NumAromaticCarbocycles_D,RingCount_D,fr_C_O_D,fr_NH0_D,fr_bicyclic_D,fr_ether_D,fr_halogen_D,fr_unbrch_alkane_D,NOCount_A,NumAliphaticCarbocycles_A,NumAliphaticRings_A,NumAromaticCarbocycles_A,NumAromaticHeterocycles_A,NumHAcceptors_A,NumHeteroatoms_A,NumRotatableBonds_A,fr_Ar_N_A,fr_C_O_A,fr_NH0_A,fr_allylic_oxid_A,fr_aryl_methyl_A,fr_bicyclic_A,fr_halogen_A,fr_ketone_A,fr_nitrile_A,fr_thiophene_A,fr_unbrch_alkane_A
0.88,26.49,78.92,18.5,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,32,4,2,8,6,0,16,4,2,4,4,4
0.87,26.69,77.7,18.04,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.839,26.2,81.1,17.8,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,30,4,2,8,6,2,16,4,2,4,4,10
0.85,26.58,77.5,17.51,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,14,19,42,4,2,8,6,2,16,4,2,4,3,18
0.88,25.08,78.8,17.39,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,40,4,2,8,6,0,16,4,2,4,4,12
0.865,25,77,16.7,2,1,1,1,10,2,0,4,0,2,0,10,2,2,5,7,15,19,26,4,2,8,6,2,16,4,2,4,4,4
0.86,25.38,76.25,16.64,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,14,18,34,4,2,8,6,2,16,4,2,4,4,14
0.833,26.74,74.33,16.54,2,1,1,1,10,2,0,4,0,2,0,11,2,2,3,7,15,19,40,5,2,9,6,2,16,4,2,4,4,14
0.839,25.75,76,16.41,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,38,4,2,8,6,2,16,4,2,4,4,14
0.945,24.07,72.02,16.37,2,1,1,1,10,2,0,4,0,2,0,9,2,2,3,7,14,20,42,4,3,6,4,2,16,6,3,2,4,18
0.89,24.57,74.6,16.26,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,48,4,2,8,6,0,16,4,2,4,4,20
0.81,27.25,72.7,16.08,3,0,0,2,8,0,3,2,0,4,18,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.84,24.91,76.4,16.02,2,1,1,1,10,2,0,4,0,2,0,11,2,2,3,7,15,19,30,5,2,9,6,2,16,4,2,4,4,4
0.828,26.35,73.41,16.01,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,13,19,42,4,2,8,6,2,16,4,2,4,2,18
0.837,25.81,73.9,15.98,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,36,4,2,8,6,4,16,4,2,4,4,14
0.839,24.3,76.2,15.5,2,1,1,1,10,2,0,4,0,2,0,10,2,2,5,7,15,19,28,4,2,8,6,4,16,4,2,4,4,6
1.07,23.11,62.57,15.47,2,1,1,1,10,2,0,4,0,0,0,8,4,4,7,4,12,12,42,0,2,4,6,4,8,0,2,4,4,8
0.81,25.9,72.8,15.3,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,21,34,4,2,8,6,2,16,6,2,4,4,14
0.934,22.39,72.69,15.21,2,1,1,1,10,2,0,4,0,2,0,9,2,2,3,7,14,20,34,4,3,6,4,2,16,6,3,2,4,14
0.83,25.39,73,15.2,4,0,2,3,13,2,2,2,0,0,8,10,2,2,3,7,15,19,42,4,2,8,6,2,16,4,2,4,4,18
0.87,23.96,72.67,15.11,6,0,1,2,10,2,4,4,0,2,4,10,2,2,3,8,16,18,67,4,2,8,6,2,16,2,2,4,5,42
0.87,24.07,71.43,15.03,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,17,34,4,2,8,6,2,16,2,2,4,4,14
0.843,24.1,73.5,14.9,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,19,26,4,2,8,6,2,16,4,2,4,4,6
0.9,23.21,71,14.83,3,0,0,2,9,0,3,3,0,6,6,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
0.86,23.3,73.89,14.8,2,1,1,1,10,2,0,4,0,2,0,11,2,2,3,7,15,19,35,5,2,9,6,1,16,4,2,4,3,8
0.86,24.9,69.3,14.8,3,0,0,1,3,0,2,1,1,2,6,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.84,24.98,69.11,14.48,3,0,0,2,11,0,3,5,0,4,10,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.835,23.2,74.56,14.45,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,6,14,18,21,4,2,8,6,1,14,4,2,4,3,4
0.88,22.8,70.2,14.1,2,1,1,1,10,2,0,4,0,0,0,10,2,2,3,7,15,15,26,4,2,8,6,0,16,0,2,4,4,0
0.85,25,68.1,14.1,2,0,0,1,9,0,2,3,0,2,16,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.84,24.67,68,14.1,4,2,2,4,20,4,0,8,0,4,0,10,2,2,3,7,15,19,42,4,2,8,6,2,16,4,2,4,4,18
0.87,22,73,14,2,1,1,1,10,2,0,4,0,2,0,6,4,4,7,6,12,20,26,0,2,4,6,4,16,8,2,4,6,8
0.83,25.4,65.6,13.8,2,1,1,1,10,2,0,4,0,2,0,11,2,2,3,7,15,19,20,5,2,9,6,0,16,4,2,4,4,0
0.867,20.59,76.87,13.74,2,1,1,1,10,2,0,4,0,2,0,8,4,4,5,4,13,13,24,0,2,4,6,3,8,0,2,4,4,4
0.88,20.63,75.1,13.63,2,1,1,3,10,2,0,4,0,2,12,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
0.961,18.91,74.45,13.53,2,1,1,1,10,2,0,4,0,2,0,6,4,4,3,2,8,8,18,0,2,4,6,0,8,0,2,4,2,0
0.92,21.38,68.25,13.43,2,1,1,1,10,2,0,4,0,2,0,12,2,2,3,7,17,21,24,4,2,8,6,2,16,2,2,4,4,14
0.87,22.44,69.1,13.42,2,1,1,1,10,2,0,4,0,0,0,11,2,2,3,7,15,15,20,5,2,9,6,0,16,0,2,4,4,0
0.82,23.56,69.4,13.4,2,1,1,1,10,2,0,4,0,0,0,11,2,2,1,9,17,17,20,5,2,9,6,0,16,0,2,4,6,0
0.852,22.19,70.6,13.35,2,1,1,1,10,2,0,4,0,2,0,9,4,5,2,5,13,18,34,0,4,5,6,0,9,4,2,4,5,0
0.78,22.92,75,13.32,2,1,1,1,10,2,0,4,0,2,0,6,4,4,7,4,8,14,26,0,2,4,6,4,12,4,2,4,2,8
0.89,22.18,67.14,13.31,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,14,18,34,4,2,8,6,4,16,4,2,4,4,14
0.89,20.8,72,13.3,2,1,1,1,10,2,0,4,0,2,0,6,4,4,7,4,10,12,26,0,2,4,6,4,12,2,2,4,4,8
0.94,19.62,72.11,13.3,6,0,1,4,10,2,4,4,0,4,4,13,2,3,3,7,16,21,40,4,4,9,6,2,17,4,2,4,4,14
0.9,23.28,63,13.26,2,1,1,1,10,2,0,4,0,0,0,11,2,2,3,7,15,15,40,5,2,9,6,2,16,0,2,4,4,14
0.94,19.6,72,13.2,6,4,4,3,11,2,4,12,0,0,16,6,4,4,3,4,10,10,30,0,2,4,6,0,12,0,2,4,4,16
0.85,22.86,67.9,13.18,3,0,0,2,9,0,3,3,0,2,6,8,4,4,7,4,12,16,42,0,2,4,6,4,8,4,2,4,4,8
0.85,21.3,72.76,13.18,3,0,0,2,9,0,3,3,0,2,6,6,6,6,4,2,8,12,42,0,2,4,8,0,12,4,2,4,2,16
0.85,21.61,71.5,13.13,2,1,1,1,10,2,0,4,0,0,0,8,4,4,7,6,12,16,40,2,2,6,6,6,16,4,2,4,4,16
0.92,18.7,76.15,13.1,2,1,1,1,10,2,0,4,0,2,0,8,4,4,7,2,10,10,24,0,2,4,6,4,8,0,2,4,2,4
0.89,21.2,69.6,13.1,2,0,0,2,11,0,2,3,0,4,0,10,2,2,3,7,15,15,26,4,2,8,6,0,16,0,2,4,4,0
0.805,22.13,73.35,13.07,2,0,0,1,6,0,2,1,0,2,20,12,4,4,4,4,14,22,16,2,2,6,6,0,12,4,2,4,2,0
0.89,20.4,69.39,12.71,2,1,1,1,10,2,0,4,0,2,0,8,4,4,3,7,15,19,48,2,2,6,6,0,14,4,2,4,6,16
0.9,19.67,71.45,12.66,7,0,0,2,9,0,3,3,0,2,14,12,4,4,7,4,16,26,50,0,2,4,6,4,8,4,2,4,4,14
